"CONAME","lat","long","NAICS6","NAICSD","sales_M","employees","PUBPRV","HDBRCH","is_hq","STATE","STCITY","year"
"Aletha Corp",43.643232,-79.405342,541511,"Custom Computer Programming Services",0.449,3,NA,NA,TRUE,"ON","Toronto",2025
"M Design",43.69542,-79.403441,541511,"Custom Computer Programming Services",0.3,2,NA,NA,TRUE,"ON","Toronto",2025
"George Flores Sound Post Inc",43.661396,-79.463524,541330,"Engineering Services",0.195,1,NA,NA,TRUE,"ON","Toronto",2025
"Rpas Operations-Training Corp",43.494862,-80.337487,336411,"Aircraft Manufacturing",2.41,5,NA,NA,TRUE,"ON","Breslau",2025
"North Aircraft Industries Inc",43.020724,-81.133872,336411,"Aircraft Manufacturing",4.82,10,NA,NA,TRUE,"ON","London",2025
"D S Urso Surveying Ltd",46.553504,-84.297943,541370,"Surveying and Mapping (except Geophysical) Service",0.296,3,NA,NA,TRUE,"ON","Sault Ste. Marie",2025
"Infax Inc",46.826976,-71.279228,541330,"Engineering Services",11.5,59,NA,NA,TRUE,"QC","Quebec",2025
"Consultants Mesar Inc",50.207743,-66.386819,541330,"Engineering Services",9.746,50,NA,NA,TRUE,"QC","Sept-Iles",2025
"Pension Frimousse",45.577034,-70.794541,541511,"Custom Computer Programming Services",0.3,2,NA,NA,TRUE,"QC","Frontenac",2025
"Pro-Innov",46.22565,-71.759542,333310,"Commercial and Service Industry Machinery Manufact",2.359,16,NA,NA,TRUE,"QC","Plessisville",2025
"Samuel Lubain",45.696606,-73.4872754,541511,"Custom Computer Programming Services",7.33,49,NA,NA,TRUE,"QC","Pointe-Aux-Trembles",2025
"Groupe Vigiteck Inc",45.568876,-73.589203,541511,"Custom Computer Programming Services",0.3,2,NA,NA,TRUE,"QC","Saint-Leonard",2025
"Ingeniero Civil Especialista",45.505047,-73.627349,541330,"Engineering Services",3.509,18,NA,NA,TRUE,"QC","Montreal",2025
"One-Sky",45.583512,-73.739746,541511,"Custom Computer Programming Services",8.826,59,NA,NA,TRUE,"QC","Laval",2025
"Sylvie Filion A G Inc",45.903369,-74.255505,541370,"Surveying and Mapping (except Geophysical) Service",0.591,6,NA,NA,TRUE,"QC","Morin-Heights",2025
"PCK Services Informatique",45.3717466,-71.9839838,541511,"Custom Computer Programming Services",7.929,53,NA,NA,TRUE,"QC","Sherbrooke",2025
"Plan A Experts Et Conseillers",45.403941,-74.031309,541330,"Engineering Services",9.161,47,NA,NA,TRUE,"QC","Vaudreuil-Dorion",2025
"D Technologies",46.1443588,-74.585012,541511,"Custom Computer Programming Services",7.929,53,NA,NA,TRUE,"QC","Mont-Tremblant",2025
"Quick Market Inc",45.4482676,-75.7449245,541511,"Custom Computer Programming Services",5.685,38,NA,NA,TRUE,"QC","Gatineau",2025
"Max-It Svc",45.414806,-75.796643,541511,"Custom Computer Programming Services",0.3,2,NA,NA,TRUE,"QC","Gatineau",2025
"Metatagg Inc",52.084464,-106.631989,541511,"Custom Computer Programming Services",0.3,2,NA,NA,TRUE,"SK","Saskatoon",2025
"RV Stucco & Construction Ltd",49.464038,-112.66838,541330,"Engineering Services",3.509,18,NA,NA,TRUE,"AB","Raymond",2025
"Starnix Inc",43.562893,-79.717272,541511,"Custom Computer Programming Services",0.3,2,NA,NA,TRUE,"ON","Mississauga",2025
"Krawchuk Land Surveys Ltd",53.995008,-111.30133,541370,"Surveying and Mapping (except Geophysical) Service",0.296,3,NA,NA,TRUE,"AB","St Paul",2025
"Iverson-Mackenzie Biological",51.839291,-121.520122,541330,"Engineering Services",9.551,49,NA,NA,TRUE,"BC","Lac La Hache",2025
"Designed Steel Structures Inc",49.320558,-122.973997,331110,"Iron and Steel Mills and Ferroalloy Manufacturing",29.636,46,NA,NA,TRUE,"BC","North Vancouver",2025
"Kalwij Water Dynamics Inc",49.335311,-122.737781,541330,"Engineering Services",9.746,50,NA,NA,TRUE,"BC","Port Coquitlam",2025
"Ept Clean Oil",50.958561,-113.981886,333310,"Commercial and Service Industry Machinery Manufact",3.685,25,NA,NA,TRUE,"AB","Calgary",2025
"Happier It Inc",51.000781,-114.071294,541511,"Custom Computer Programming Services",4.638,31,NA,NA,TRUE,"AB","Calgary",2025
"Wisetech Corp Inc",50.911943,-114.061846,541511,"Custom Computer Programming Services",6.582,44,NA,NA,TRUE,"AB","Calgary",2025
"Blue Grid AB Ltd",51.144676,-114.105037,541511,"Custom Computer Programming Services",0.3,2,NA,NA,TRUE,"AB","Calgary",2025
"Dongliang Engineering",51.13286,-114.137559,541330,"Engineering Services",6.432,33,NA,NA,TRUE,"AB","Calgary",2025
"Martial Technology Inc",53.555666,-113.470957,541511,"Custom Computer Programming Services",5.386,36,NA,NA,TRUE,"AB","Edmonton",2025
"Hingeneering Consulting",53.53279,-113.503383,541330,"Engineering Services",7.407,38,NA,NA,TRUE,"AB","Edmonton",2025
"Burns Bridge Engineering",53.425508,-113.509467,541330,"Engineering Services",0.195,1,NA,NA,TRUE,"AB","Edmonton",2025
"BQR Systems Ltd",49.224175,-122.834082,541330,"Engineering Services",0.358,3,NA,NA,TRUE,"BC","Coquitlam",2025
"SMG Advisors Inc",49.261464,-123.09815,334610,"Manufacturing and Reproducing Magnetic and Optical",0.88,3,NA,NA,TRUE,"BC","Vancouver",2025
