region_uid,region_name,year,NAICS6,NAICSD,defence_type,total_sales_M,sales_bucket,n_firms,avg_employees,total_jobs,lq_sales,lq_firms,lq_jobs,suppressed
48,Alberta,2023,334610,Manufacturing and Reproducing Magnetic and Optical,secondary,45.181,>=$5M,11,9.0,99.0,0.38,0.441,0.311,False
48,Alberta,2023,336411,Aircraft Manufacturing,primary,12.203,>=$5M,7,3.1,22.0,0.113,0.849,0.107,False
48,Alberta,2023,336611,Ship Building and Repairing,secondary,,<$5M,<2,,,,,,True
48,Alberta,2023,336612,Boat Building,secondary,2.49,<$5M,3,5.0,15.0,0.034,0.121,0.041,False
48,Alberta,2023,336992,"Military Armored Vehicle, Tank, and Tank Component",primary,65.579,>=$5M,3,36.3,109.0,3.539,2.871,3.901,False
48,Alberta,2023,336999,All Other Transportation Equipment Manufacturing,primary,5.144,>=$5M,2,7.0,14.0,0.372,1.325,0.307,False
48,Alberta,2023,541330,Engineering Services,secondary,4641.453,>=$5M,1527,13.2,20184.0,1.79,1.422,1.937,False
48,Alberta,2023,541370,Surveying and Mapping (except Geophysical) Service,secondary,563.437,>=$5M,361,10.9,3938.0,1.876,1.422,1.93,False
48,Alberta,2023,541511,Custom Computer Programming Services,secondary,288.396,>=$5M,214,6.5,1392.0,0.555,0.867,0.585,False
48,Alberta,2023,ALL,All,all,7413.557,>=$5M,2283,12.3,28139.0,1.311,1.234,1.471,False
48,Alberta,2023,PRIMARY,Primary,primary,315.11,>=$5M,96,10.4,996.0,0.422,0.687,0.463,False
48,Alberta,2023,SECONDARY,Secondary,secondary,7098.447,>=$5M,2187,12.4,27143.0,1.446,1.279,1.599,False
48,Alberta,2024,325920,Explosives Manufacturing,primary,,<$5M,<2,,,,,,True
48,Alberta,2024,331110,Iron and Steel Mills and Ferroalloy Manufacturing,secondary,1079.809,>=$5M,63,26.7,1683.0,1.236,0.874,1.228,False
48,Alberta,2024,331221,Rolled Steel Shape Manufacturing,secondary,,>=$5M,<2,,,,,,True
48,Alberta,2024,333310,Commercial and Service Industry Machinery Manufact,primary,129.954,>=$5M,71,11.9,848.0,0.51,0.594,0.571,False
48,Alberta,2024,334511,"Search, Detection, Navigation, Guidance, Aeronauti",primary,79.64,>=$5M,7,48.4,339.0,0.527,0.503,0.522,False
48,Alberta,2024,334610,Manufacturing and Reproducing Magnetic and Optical,secondary,32.609,>=$5M,12,7.1,85.0,0.367,0.466,0.269,False
48,Alberta,2024,336411,Aircraft Manufacturing,primary,10.604,>=$5M,7,3.1,22.0,0.074,0.733,0.073,False
48,Alberta,2024,336611,Ship Building and Repairing,secondary,,<$5M,<2,,,,,,True
48,Alberta,2024,336612,Boat Building,secondary,6.363,>=$5M,3,14.7,44.0,0.086,0.123,0.086,False
48,Alberta,2024,336992,"Military Armored Vehicle, Tank, and Tank Component",primary,84.796,>=$5M,3,56.3,169.0,2.369,1.654,2.355,False
48,Alberta,2024,336999,All Other Transportation Equipment Manufacturing,primary,6.43,>=$5M,4,7.0,28.0,0.545,1.741,0.543,False
48,Alberta,2024,541330,Engineering Services,secondary,5313.81,>=$5M,1590,17.1,27227.0,1.676,1.375,1.663,False
48,Alberta,2024,541370,Surveying and Mapping (except Geophysical) Service,secondary,300.534,>=$5M,356,8.5,3039.0,1.93,1.378,1.921,False
48,Alberta,2024,541511,Custom Computer Programming Services,secondary,397.901,>=$5M,246,10.9,2677.0,0.729,0.805,0.736,False
48,Alberta,2024,ALL,All,all,7698.296,>=$5M,2365,15.5,36585.0,1.355,1.179,1.356,False
48,Alberta,2024,PRIMARY,Primary,primary,311.846,>=$5M,93,15.1,1408.0,0.504,0.62,0.522,False
48,Alberta,2024,SECONDARY,Secondary,secondary,7386.45,>=$5M,2272,15.5,35177.0,1.459,1.224,1.449,False
48,Alberta,2025,325920,Explosives Manufacturing,primary,,<$5M,<2,,,,,,True
48,Alberta,2025,331110,Iron and Steel Mills and Ferroalloy Manufacturing,secondary,1084.962,>=$5M,63,26.7,1684.0,1.257,0.882,1.258,False
48,Alberta,2025,331221,Rolled Steel Shape Manufacturing,secondary,,>=$5M,<2,,,,,,True
48,Alberta,2025,333310,Commercial and Service Industry Machinery Manufact,primary,147.58,>=$5M,73,11.5,842.0,0.552,0.602,0.547,False
48,Alberta,2025,334511,"Search, Detection, Navigation, Guidance, Aeronauti",primary,74.472,>=$5M,7,45.3,317.0,0.497,0.497,0.504,False
48,Alberta,2025,334610,Manufacturing and Reproducing Magnetic and Optical,secondary,32.609,>=$5M,12,7.1,85.0,0.358,0.461,0.265,False
48,Alberta,2025,336411,Aircraft Manufacturing,primary,10.604,>=$5M,7,3.1,22.0,0.075,0.727,0.075,False
48,Alberta,2025,336611,Ship Building and Repairing,secondary,,<$5M,<2,,,,,,True
48,Alberta,2025,336612,Boat Building,secondary,7.375,>=$5M,3,17.0,51.0,0.097,0.123,0.098,False
48,Alberta,2025,336992,"Military Armored Vehicle, Tank, and Tank Component",primary,71.751,>=$5M,3,47.7,143.0,2.233,1.78,2.24,False
48,Alberta,2025,336999,All Other Transportation Equipment Manufacturing,primary,6.43,>=$5M,4,7.0,28.0,0.525,1.445,0.525,False
48,Alberta,2025,541330,Engineering Services,secondary,5338.203,>=$5M,1613,17.0,27481.0,1.652,1.381,1.659,False
48,Alberta,2025,541370,Surveying and Mapping (except Geophysical) Service,secondary,307.679,>=$5M,359,8.7,3125.0,1.868,1.38,1.881,False
48,Alberta,2025,541511,Custom Computer Programming Services,secondary,431.986,>=$5M,273,10.5,2855.0,0.717,0.817,0.715,False
48,Alberta,2025,ALL,All,all,7769.776,>=$5M,2420,15.3,37058.0,1.336,1.18,1.34,False
48,Alberta,2025,PRIMARY,Primary,primary,311.259,>=$5M,95,14.3,1354.0,0.494,0.621,0.493,False
48,Alberta,2025,SECONDARY,Secondary,secondary,7458.517,>=$5M,2325,15.4,35704.0,1.439,1.225,1.433,False
59,British Columbia / Colombie-Britannique,2017,325920,Explosives Manufacturing,primary,20.672,>=$5M,3,21.3,64.0,3.843,1.776,3.501,False
59,British Columbia / Colombie-Britannique,2017,331110,Iron & Steel Mills & Ferroalloy Manufacturing,secondary,437.724,>=$5M,32,12.1,386.0,0.285,0.336,0.256,False
59,British Columbia / Colombie-Britannique,2017,333314,Optical Instrument & Lens Manufacturing,secondary,0.858,<$5M,2,1.5,3.0,0.25,0.724,0.228,False
59,British Columbia / Colombie-Britannique,2017,334511,Search Detection & Navigation Instruments,primary,120.946,>=$5M,17,19.2,326.0,1.014,1.942,0.924,False
59,British Columbia / Colombie-Britannique,2017,336411,Aircraft Manufacturing,primary,36.3,>=$5M,9,6.7,60.0,0.293,1.011,0.267,False
59,British Columbia / Colombie-Britannique,2017,336611,Ship Building & Repairing,secondary,111.888,>=$5M,48,10.5,504.0,1.744,2.742,1.589,False
59,British Columbia / Colombie-Britannique,2017,336612,Boat Building,secondary,291.06,>=$5M,87,16.9,1470.0,3.774,2.552,3.443,False
59,British Columbia / Colombie-Britannique,2017,336992,"Military Armored Vehicle, Tank & Tank Cmpnnt Mfg",primary,,<$5M,<2,,,,,,True
59,British Columbia / Colombie-Britannique,2017,336999,All Other Transportation Equipment Manufacturing,primary,,<$5M,<2,,,,,,True
59,British Columbia / Colombie-Britannique,2017,541330,Engineering Services,secondary,2833.085,>=$5M,1375,8.9,12282.0,1.285,1.268,1.171,False
59,British Columbia / Colombie-Britannique,2017,541370,Surveying & Mapping (except Geophysical) Services,secondary,302.82,>=$5M,255,8.1,2060.0,0.986,0.842,0.899,False
59,British Columbia / Colombie-Britannique,2017,541511,Custom Computer Programming Services,secondary,962.343,>=$5M,545,8.5,4649.0,2.176,2.034,1.98,False
59,British Columbia / Colombie-Britannique,2017,ALL,All,all,5120.754,>=$5M,2375,9.2,21809.0,1.029,1.3,1.198,False
59,British Columbia / Colombie-Britannique,2017,PRIMARY,Primary,primary,180.976,>=$5M,31,14.7,455.0,0.596,1.452,0.606,False
59,British Columbia / Colombie-Britannique,2017,SECONDARY,Secondary,secondary,4939.778,>=$5M,2344,9.1,21354.0,1.057,1.298,1.224,False
59,British Columbia / Colombie-Britannique,2018,325920,Explosives Manufacturing,primary,20.672,>=$5M,3,21.3,64.0,3.746,1.492,3.421,False
59,British Columbia / Colombie-Britannique,2018,331110,Iron & Steel Mills & Ferroalloy Manufacturing,secondary,429.02,>=$5M,32,12.1,387.0,0.277,0.33,0.255,False
