region_uid,region_name,year,tier,object_cluster,total_value,n_contracts,n_vendors
11,Prince Edward Island,2021,Industrial and Technical Support,ALL,1456987.42,8,6
11,Prince Edward Island,2022,Core Defence Industrial Complex,ALL,42381.14,1,1
11,Prince Edward Island,2022,General Government Support,ALL,1147226.74,18,8
11,Prince Edward Island,2022,Industrial and Technical Support,ALL,66086.79000000001,3,3
11,Prince Edward Island,2023,General Government Support,ALL,763788.06,23,11
11,Prince Edward Island,2023,Industrial and Technical Support,ALL,1046913.95,9,9
11,Prince Edward Island,2024,General Government Support,ALL,594212.25,18,9
11,Prince Edward Island,2024,Industrial and Technical Support,ALL,16102.5,1,1
11,Prince Edward Island,2025,Core Defence Industrial Complex,ALL,1458497.94,4,2
11,Prince Edward Island,2025,General Government Support,ALL,598915.67,19,12
11,Prince Edward Island,2025,Industrial and Technical Support,ALL,83774.38,5,5
11,Prince Edward Island,2026,Core Defence Industrial Complex,ALL,226508.02,2,1
11,Prince Edward Island,2026,General Government Support,ALL,103661.1,4,2
11,Prince Edward Island,2026,Industrial and Technical Support,ALL,14950,1,1
12,Nova Scotia,2016,Core Defence Industrial Complex,ALL,1803515.98,8,3
12,Nova Scotia,2016,General Government Support,ALL,16635653.25,81,39
12,Nova Scotia,2016,Industrial and Technical Support,ALL,2813916.81,22,14
12,Nova Scotia,2017,Core Defence Industrial Complex,ALL,6367408.6,55,18
12,Nova Scotia,2017,General Government Support,ALL,52239881.43,547,191
12,Nova Scotia,2017,Industrial and Technical Support,ALL,200156224.32,216,81
12,Nova Scotia,2018,Core Defence Industrial Complex,ALL,32467265.78,68,24
12,Nova Scotia,2018,General Government Support,ALL,79543993.98,700,198
12,Nova Scotia,2018,Industrial and Technical Support,ALL,53586091.04,300,97
12,Nova Scotia,2019,Core Defence Industrial Complex,ALL,1336409426.7,80,22
12,Nova Scotia,2019,General Government Support,ALL,51598921.83,603,191
12,Nova Scotia,2019,Industrial and Technical Support,ALL,106578561.7,285,99
12,Nova Scotia,2020,Core Defence Industrial Complex,ALL,19342787.36,62,11
12,Nova Scotia,2020,General Government Support,ALL,68303772.73,691,196
12,Nova Scotia,2020,Industrial and Technical Support,ALL,615971918.08,278,81
12,Nova Scotia,2021,Core Defence Industrial Complex,ALL,16166429.11,61,26
12,Nova Scotia,2021,General Government Support,ALL,76297264.93,779,221
12,Nova Scotia,2021,Industrial and Technical Support,ALL,842043022.99,389,104
12,Nova Scotia,2022,Core Defence Industrial Complex,ALL,67472295.75,85,28
12,Nova Scotia,2022,General Government Support,ALL,73671476.47,885,267
12,Nova Scotia,2022,Industrial and Technical Support,ALL,80430341.47,423,114
12,Nova Scotia,2023,Core Defence Industrial Complex,ALL,19750873.85,91,38
12,Nova Scotia,2023,General Government Support,ALL,148038087.83,1093,334
12,Nova Scotia,2023,Industrial and Technical Support,ALL,283698801.36,454,141
12,Nova Scotia,2024,Core Defence Industrial Complex,ALL,3603363109.31,70,31
12,Nova Scotia,2024,General Government Support,ALL,130894143.56,1132,298
12,Nova Scotia,2024,Industrial and Technical Support,ALL,162974213.87,346,136
12,Nova Scotia,2025,Core Defence Industrial Complex,ALL,10853991994.08,321,108
12,Nova Scotia,2025,General Government Support,ALL,122137912.72,1400,351
12,Nova Scotia,2025,Industrial and Technical Support,ALL,95120740.13,351,152
12,Nova Scotia,2026,Core Defence Industrial Complex,ALL,7921332.36,134,52
12,Nova Scotia,2026,General Government Support,ALL,28520830.43,350,156
12,Nova Scotia,2026,Industrial and Technical Support,ALL,10504856.11,102,62
13,New Brunswick,2016,General Government Support,ALL,5315930.09,123,29
13,New Brunswick,2016,Industrial and Technical Support,ALL,962387.36,48,12
13,New Brunswick,2017,Core Defence Industrial Complex,ALL,1257776.25,3,3
13,New Brunswick,2017,General Government Support,ALL,24627457.46,387,88
13,New Brunswick,2017,Industrial and Technical Support,ALL,15639303.02,204,53
13,New Brunswick,2018,Core Defence Industrial Complex,ALL,323141.17,7,4
13,New Brunswick,2018,General Government Support,ALL,27672166.16,379,93
13,New Brunswick,2018,Industrial and Technical Support,ALL,21809051.63,274,57
13,New Brunswick,2019,Core Defence Industrial Complex,ALL,120066.8,5,5
13,New Brunswick,2019,General Government Support,ALL,23726146.17,403,90
13,New Brunswick,2019,Industrial and Technical Support,ALL,64300601.57,206,48
13,New Brunswick,2020,Core Defence Industrial Complex,ALL,142214.73,6,4
13,New Brunswick,2020,General Government Support,ALL,35777353.46,405,89
13,New Brunswick,2020,Industrial and Technical Support,ALL,21343942.25,131,50
13,New Brunswick,2021,Core Defence Industrial Complex,ALL,96753.82,6,6
13,New Brunswick,2021,General Government Support,ALL,48988105.31,471,110
13,New Brunswick,2021,Industrial and Technical Support,ALL,126729812.53,143,60
13,New Brunswick,2022,General Government Support,ALL,54349510.22,514,142
13,New Brunswick,2022,Industrial and Technical Support,ALL,35461825.41,140,57
13,New Brunswick,2023,Core Defence Industrial Complex,ALL,76104.96,3,3
13,New Brunswick,2023,General Government Support,ALL,211329147.55,573,159
13,New Brunswick,2023,Industrial and Technical Support,ALL,42569208.19,237,75
13,New Brunswick,2024,Core Defence Industrial Complex,ALL,164778.79,5,4
13,New Brunswick,2024,General Government Support,ALL,53892807.6,523,146
13,New Brunswick,2024,Industrial and Technical Support,ALL,43286959.84,313,80
13,New Brunswick,2025,Core Defence Industrial Complex,ALL,2930754.6,45,22
13,New Brunswick,2025,General Government Support,ALL,58939710.65,601,165
13,New Brunswick,2025,Industrial and Technical Support,ALL,149575954.75,386,117
13,New Brunswick,2026,Core Defence Industrial Complex,ALL,1546025.6300000001,14,11
13,New Brunswick,2026,General Government Support,ALL,7316896.29,139,63
13,New Brunswick,2026,Industrial and Technical Support,ALL,14856109.77,95,24
24,Quebec,2016,Core Defence Industrial Complex,ALL,1169336.4000000001,26,10
24,Quebec,2016,General Government Support,ALL,195003377.94,90,66
24,Quebec,2016,Industrial and Technical Support,ALL,28843938.32,73,35
24,Quebec,2017,Core Defence Industrial Complex,ALL,1455923755.96,184,49
24,Quebec,2017,General Government Support,ALL,115541790.81,827,381
24,Quebec,2017,Industrial and Technical Support,ALL,838121614.46,695,230
24,Quebec,2018,Core Defence Industrial Complex,ALL,115021687.55,252,62
24,Quebec,2018,General Government Support,ALL,150795918.39,1023,487
24,Quebec,2018,Industrial and Technical Support,ALL,316755645.84,1261,312
24,Quebec,2019,Core Defence Industrial Complex,ALL,1880029252.7,174,57
24,Quebec,2019,General Government Support,ALL,76294932.73,982,425
24,Quebec,2019,Industrial and Technical Support,ALL,2803314552.5,1102,271
24,Quebec,2020,Core Defence Industrial Complex,ALL,288404793.24,191,47
24,Quebec,2020,General Government Support,ALL,268938367.79,961,398
24,Quebec,2020,Industrial and Technical Support,ALL,528026221.88,559,231
24,Quebec,2021,Core Defence Industrial Complex,ALL,179865817.94,146,47
24,Quebec,2021,General Government Support,ALL,142477138.32,932,393
24,Quebec,2021,Industrial and Technical Support,ALL,296705616.49,1062,279
24,Quebec,2022,Core Defence Industrial Complex,ALL,324595066.56,188,51
24,Quebec,2022,General Government Support,ALL,1073030537.92,1171,506
24,Quebec,2022,Industrial and Technical Support,ALL,953150895.07,1076,324
24,Quebec,2023,Core Defence Industrial Complex,ALL,2627907676,150,53
24,Quebec,2023,General Government Support,ALL,320933633.7,1286,603
24,Quebec,2023,Industrial and Technical Support,ALL,901788945.45,1056,381
24,Quebec,2024,Core Defence Industrial Complex,ALL,574573647.26,209,83
24,Quebec,2024,General Government Support,ALL,107746468.24,1350,571
24,Quebec,2024,Industrial and Technical Support,ALL,227454830.68,1147,375
24,Quebec,2025,Core Defence Industrial Complex,ALL,1193300438.23,371,112
24,Quebec,2025,General Government Support,ALL,434824531.84,2116,756
24,Quebec,2025,Industrial and Technical Support,ALL,386001386.3,1354,453
24,Quebec,2026,Core Defence Industrial Complex,ALL,981289892.47,164,80
24,Quebec,2026,General Government Support,ALL,39681225.97,553,285
24,Quebec,2026,Industrial and Technical Support,ALL,890275231.29,399,185
35,Ontario,2016,Core Defence Industrial Complex,ALL,12360971.78,15,12
35,Ontario,2016,General Government Support,ALL,96302293.19,323,167
35,Ontario,2016,Industrial and Technical Support,ALL,230388585.8,183,104
35,Ontario,2017,Core Defence Industrial Complex,ALL,69505774.71,131,61
35,Ontario,2017,General Government Support,ALL,2072942381.4,2229,857
35,Ontario,2017,Industrial and Technical Support,ALL,537802409.71,2227,583
35,Ontario,2018,Core Defence Industrial Complex,ALL,155215062.06,166,89
35,Ontario,2018,General Government Support,ALL,651175700.58,2706,1030
35,Ontario,2018,Industrial and Technical Support,ALL,1361152530.59,2736,726
35,Ontario,2019,Core Defence Industrial Complex,ALL,80360888.39,132,74
35,Ontario,2019,General Government Support,ALL,426771649.09,2472,955
35,Ontario,2019,Industrial and Technical Support,ALL,609687147.02,2355,656
35,Ontario,2020,Core Defence Industrial Complex,ALL,48301955.71,93,47
35,Ontario,2020,General Government Support,ALL,521413618.32,2351,922
35,Ontario,2020,Industrial and Technical Support,ALL,674929604.78,2047,616
35,Ontario,2021,Core Defence Industrial Complex,ALL,51786814.1,110,66
35,Ontario,2021,General Government Support,ALL,487141300.33,2590,975
35,Ontario,2021,Industrial and Technical Support,ALL,759366106.21,2332,607
35,Ontario,2022,Core Defence Industrial Complex,ALL,87536239.61,121,71
35,Ontario,2022,General Government Support,ALL,1547673240.22,2906,1131
35,Ontario,2022,Industrial and Technical Support,ALL,1070166007.45,2503,731
35,Ontario,2023,Core Defence Industrial Complex,ALL,617777397.93,158,101
35,Ontario,2023,General Government Support,ALL,592920342.22,3421,1355
35,Ontario,2023,Industrial and Technical Support,ALL,2564169555.62,2649,873
35,Ontario,2024,Core Defence Industrial Complex,ALL,1022211106.83,140,96
35,Ontario,2024,General Government Support,ALL,11691274811.22,3205,1251
35,Ontario,2024,Industrial and Technical Support,ALL,1360493397.77,2273,804
35,Ontario,2025,Core Defence Industrial Complex,ALL,117463064.84,300,161
35,Ontario,2025,General Government Support,ALL,987476210.92,4330,1560
35,Ontario,2025,Industrial and Technical Support,ALL,1340451367.52,2999,942
35,Ontario,2026,Core Defence Industrial Complex,ALL,340697816.37,146,78
35,Ontario,2026,General Government Support,ALL,140445669.18,1082,563
35,Ontario,2026,Industrial and Technical Support,ALL,461770468.57,808,380
46,Manitoba,2016,Core Defence Industrial Complex,ALL,7102130.86,4,3
46,Manitoba,2016,General Government Support,ALL,1121778.3599999999,19,7
46,Manitoba,2016,Industrial and Technical Support,ALL,815827.43,12,8
46,Manitoba,2017,Core Defence Industrial Complex,ALL,6597001.42,26,6
46,Manitoba,2017,General Government Support,ALL,18707357.14,178,70
46,Manitoba,2017,Industrial and Technical Support,ALL,41756226.589999996,201,47
46,Manitoba,2018,Core Defence Industrial Complex,ALL,49536994.7,24,8
46,Manitoba,2018,General Government Support,ALL,28298015.02,281,85
46,Manitoba,2018,Industrial and Technical Support,ALL,19891667.79,273,58
46,Manitoba,2019,Core Defence Industrial Complex,ALL,242015.40999999997,6,3
46,Manitoba,2019,General Government Support,ALL,14604925.83,197,79
46,Manitoba,2019,Industrial and Technical Support,ALL,17980680.72,154,52
46,Manitoba,2020,Core Defence Industrial Complex,ALL,1746510.06,18,6
46,Manitoba,2020,General Government Support,ALL,17716169.14,219,78
46,Manitoba,2020,Industrial and Technical Support,ALL,29950968.7,137,39
