region_uid,region_name,year,NAICS6,NAICSD,defence_type,total_sales_M,total_sales_M_real,sales_bucket,n_firms,avg_employees,total_jobs,lq_sales,lq_firms,lq_jobs,suppressed
59,British Columbia / Colombie-Britannique,2020,336999,All Other Transportation Equipment Manufacturing,secondary,,,<$5M,<2,,,,,,True
59,British Columbia / Colombie-Britannique,2020,541330,Engineering Services,secondary,5370.308,6436.53,>=$5M,1894,12.3,23266.0,0.91,1.211,0.839,False
59,British Columbia / Colombie-Britannique,2020,541370,Surveying & Mapping (except Geophysical) Services,secondary,355.887,426.545,>=$5M,324,7.5,2421.0,1.004,0.907,0.924,False
59,British Columbia / Colombie-Britannique,2020,541511,Custom Computer Programming Services,secondary,1095.03,1312.437,>=$5M,666,7.9,5281.0,1.785,1.901,1.636,False
59,British Columbia / Colombie-Britannique,2020,ALL,All,all,8235.674,9870.786,>=$5M,3110,11.1,34641.0,0.819,1.259,0.905,False
59,British Columbia / Colombie-Britannique,2020,PRIMARY,Primary,primary,46.554,55.797,>=$5M,14,9.5,133.0,0.544,1.191,0.514,False
59,British Columbia / Colombie-Britannique,2020,SECONDARY,Secondary,secondary,8189.12,9814.989,>=$5M,3096,11.1,34508.0,0.821,1.259,0.907,False
59,British Columbia / Colombie-Britannique,2021,325920,Explosives Manufacturing,primary,40.375,46.819,>=$5M,11,11.4,125.0,1.616,1.098,1.485,False
59,British Columbia / Colombie-Britannique,2021,331110,Iron and Steel Mills and Ferroalloy Manufacturing,secondary,400.545,464.474,>=$5M,33,11.0,362.0,0.181,0.324,0.17,False
59,British Columbia / Colombie-Britannique,2021,333314,Optical Instrument and Lens Manufacturing,secondary,0.858,0.995,<$5M,2,1.5,3.0,0.305,0.879,0.282,False
59,British Columbia / Colombie-Britannique,2021,334511,"Search, Detection, Navigation, Guidance, Aeronauti",secondary,219.859,254.949,>=$5M,27,22.7,614.0,1.309,1.632,1.252,False
59,British Columbia / Colombie-Britannique,2021,336411,Aircraft Manufacturing,secondary,292.215,338.854,>=$5M,12,40.2,483.0,0.626,1.069,0.579,False
59,British Columbia / Colombie-Britannique,2021,336414,Guided Missile and Space Vehicle Manufacturing,primary,,,<$5M,<2,,,,,,True
59,British Columbia / Colombie-Britannique,2021,336611,Ship Building and Repairing,secondary,283.716,328.998,>=$5M,56,22.8,1278.0,2.992,2.734,2.768,False
59,British Columbia / Colombie-Britannique,2021,336612,Boat Building,secondary,294.03,340.959,>=$5M,81,18.3,1485.0,3.742,2.437,3.48,False
59,British Columbia / Colombie-Britannique,2021,336992,"Military Armored Vehicle, Tank, and Tank Component",primary,5.754,6.672,>=$5M,2,3.5,7.0,0.268,1.883,0.248,False
59,British Columbia / Colombie-Britannique,2021,336999,All Other Transportation Equipment Manufacturing,secondary,1.776,2.059,<$5M,2,3.0,6.0,0.136,1.464,0.126,False
59,British Columbia / Colombie-Britannique,2021,541330,Engineering Services,secondary,5279.89,6122.584,>=$5M,1860,12.3,22874.0,1.122,1.199,1.041,False
59,British Columbia / Colombie-Britannique,2021,541370,Surveying and Mapping (except Geophysical) Service,secondary,329.574,382.176,>=$5M,318,7.0,2227.0,0.933,0.898,0.862,False
59,British Columbia / Colombie-Britannique,2021,541511,Custom Computer Programming Services,secondary,1113.66,1291.405,>=$5M,667,8.0,5368.0,1.775,1.89,1.64,False
59,British Columbia / Colombie-Britannique,2021,ALL,All,all,8263.0,9581.812,>=$5M,3072,11.3,34834.0,0.934,1.25,1.07,False
59,British Columbia / Colombie-Britannique,2021,PRIMARY,Primary,primary,46.877,54.359,>=$5M,14,9.6,134.0,0.54,1.153,0.513,False
59,British Columbia / Colombie-Britannique,2021,SECONDARY,Secondary,secondary,8216.123,9527.453,>=$5M,3058,11.3,34700.0,0.938,1.25,1.075,False
59,British Columbia / Colombie-Britannique,2022,325920,Explosives Manufacturing,primary,40.375,43.846,>=$5M,11,11.4,125.0,1.385,1.016,1.3,False
59,British Columbia / Colombie-Britannique,2022,331110,Iron and Steel Mills and Ferroalloy Manufacturing,secondary,456.948,496.236,>=$5M,37,10.4,385.0,0.229,0.345,0.206,False
59,British Columbia / Colombie-Britannique,2022,333310,Commercial and Service Industry Machinery Manufact,secondary,451.675,490.509,>=$5M,143,8.7,1242.0,0.883,0.831,0.727,False
59,British Columbia / Colombie-Britannique,2022,334511,"Search, Detection, Navigation, Guidance, Aeronauti",secondary,224.388,243.681,>=$5M,29,21.6,627.0,1.262,1.621,1.262,False
