"CONAME","lat","long","NAICS6","NAICSD","sales_M","employees","PUBPRV","HDBRCH","STATE","STCITY","year"
"Groupe Resolution",46.767534,-71.309732,541330,"Engineering Services",8.085,35,NA,NA,"QC","Quebec",2017
"Moules & Matrices Indl",46.819277,-71.123644,541330,"Engineering Services",0.924,4,NA,NA,"QC","Levis",2017
"Lanmark Engineering",51.0306314,-114.0717669,541330,"Engineering Services",9.24,40,NA,NA,"AB","Calgary",2017
"ALG Groupe Counseling Inc",45.455367,-73.465146,541330,"Engineering Services",1.617,7,NA,NA,"QC","Brossard",2017
"Innovative Engineering Mgmt",42.99776,-82.321038,541330,"Engineering Services",0.231,1,NA,NA,"ON","Sarnia",2017
"Adaptive Thermal Solutions",42.283262,-82.9644,541330,"Engineering Services",1.386,6,NA,NA,"ON","Windsor",2017
"Gladstone Aerospace Conslnt",45.351891,-75.790968,334511,"Search Detection & Navigation Instruments",3.71,10,NA,NA,"ON","Ottawa",2017
"Peter Mitches & Assoc Ltd",43.663625,-79.593099,541330,"Engineering Services",1.155,5,NA,NA,"ON","Mississauga",2017
"Dryerfighters Ontario Inc",43.628894,-79.6420509,541330,"Engineering Services",0.924,4,NA,NA,"ON","Mississauga",2017
"IMDC Consulting Ltd",51.0844975,-114.0578513,541330,"Engineering Services",0.462,2,NA,NA,"AB","Calgary",2017
"Metertech Electronics Ltd",53.51944,-113.389191,541330,"Engineering Services",0.231,1,NA,NA,"AB","Edmonton",2017
"Nu Westech Engineering Ltd",49.192028,-123.073259,541330,"Engineering Services",1.617,7,NA,NA,"BC","Richmond",2017
"Acero Engineering Inc",51.047859,-114.073819,541330,"Engineering Services",18.48,80,NA,NA,"AB","Calgary",2017
"Toyo Engineering",51.0478162,-114.0762789,541330,"Engineering Services",0.462,2,NA,NA,"AB","Calgary",2017
"Groupe BRT Inc",43.6393144,-79.6494558,541330,"Engineering Services",1.617,7,NA,NA,"ON","Mississauga",2017
"Guide Technologies Inc",49.129767,-123.022299,541330,"Engineering Services",0.924,4,NA,NA,"BC","Delta",2017
"Kwatroe Consultant Inc",48.814516,-64.506941,541330,"Engineering Services",4.62,20,NA,NA,"QC","Gaspe",2017
"Rivard Engineering",48.48282,-81.380941,541330,"Engineering Services",1.386,6,NA,NA,"ON","Timmins",2017
"Opus Daytonknight Conslnts Ltd",53.9141095,-122.7457305,541330,"Engineering Services",1.617,7,NA,NA,"BC","Prince George",2017
"Blueline Engineering",53.907358,-122.822117,541330,"Engineering Services",1.617,7,NA,NA,"BC","Prince George",2017
"Cox Technologies",43.763748,-79.198711,541330,"Engineering Services",0.693,3,NA,NA,"ON","Scarborough",2017
"W H Engineering",43.800185,-79.282769,541330,"Engineering Services",0.462,2,NA,NA,"ON","Scarborough",2017
"Neild Construction",43.663156,-79.568729,541330,"Engineering Services",1.617,7,NA,NA,"ON","Etobicoke",2017
"Fraser Valley Engineering Ltd",49.060342,-122.30172,541330,"Engineering Services",3.234,14,NA,NA,"BC","Abbotsford",2017
"M F Tulloch Inc",45.988615,-79.646417,541330,"Engineering Services",1.155,5,NA,NA,"ON","Restoule",2017
"AECOM",46.22213,-79.15014,541330,"Engineering Services",1.155,5,NA,NA,"ON","Bonfield",2017
"Rae Hidi Consulting Engineers",43.642097,-79.374712,541330,"Engineering Services",18.48,80,NA,NA,"ON","Toronto",2017
"Found Aircraft Canada Inc",43.705743,-79.364298,336411,"Aircraft Manufacturing",3.025,5,NA,NA,"ON","East York",2017
"Best Consultants",43.891733,-79.469223,541330,"Engineering Services",2.31,10,NA,NA,"ON","Maple",2017
"Lambert Engineering & Contrng",43.674955,-79.286102,541330,"Engineering Services",0.693,3,NA,NA,"ON","Toronto",2017
"Raftery Engineering",43.702982,-79.399959,541330,"Engineering Services",1.155,5,NA,NA,"ON","Toronto",2017
"Navigation Solutions",43.672359,-79.593122,334511,"Search Detection & Navigation Instruments",0.742,2,NA,NA,"ON","Etobicoke",2017
