region_uid,region_name,year,NAICS6,NAICSD,defence_type,total_sales_M,total_sales_M_real,sales_bucket,n_firms,avg_employees,total_jobs,lq_sales,lq_firms,lq_jobs,suppressed
5909052,Abbotsford,2025,331110,Iron and Steel Mills and Ferroalloy Manufacturing,secondary,27.474,27.474,>=$5M,4,10.8,43.0,0.672,1.436,0.732,False
5909052,Abbotsford,2025,333310,Commercial and Service Industry Machinery Manufact,secondary,22.004,22.004,>=$5M,7,17.9,125.0,2.215,1.512,2.36,False
5909052,Abbotsford,2025,334511,"Search, Detection, Navigation, Guidance, Aeronauti",secondary,,,>=$5M,<2,,,,,,True
5909052,Abbotsford,2025,336411,Aircraft Manufacturing,secondary,,,<$5M,<2,,,,,,True
5909052,Abbotsford,2025,541330,Engineering Services,secondary,105.464,105.464,>=$5M,46,11.8,541.0,0.623,0.939,0.675,False
5909052,Abbotsford,2025,541370,Surveying and Mapping (except Geophysical) Service,secondary,4.14,4.14,<$5M,9,4.7,42.0,0.683,0.92,0.742,False
5909052,Abbotsford,2025,541511,Custom Computer Programming Services,secondary,13.77,13.77,>=$5M,11,8.4,92.0,0.493,0.854,0.535,False
5909052,Abbotsford,2025,ALL,All,all,182.274,182.274,>=$5M,79,11.2,881.0,0.633,0.951,0.705,False
5909052,Abbotsford,2025,SECONDARY,Secondary,secondary,182.274,182.274,>=$5M,79,11.2,881.0,0.64,0.956,0.711,False
1311026,Aberdeen,2017,541330,Engineering Services,secondary,1.386,1.745,<$5M,2,3.0,6.0,0.729,15.263,4.282,False
1311026,Aberdeen,2017,ALL,All,all,1.386,1.745,<$5M,2,3.0,6.0,0.415,9.483,3.062,False
1311026,Aberdeen,2017,SECONDARY,Secondary,secondary,1.386,1.745,<$5M,2,3.0,6.0,0.418,9.518,3.081,False
1311026,Aberdeen,2018,541330,Engineering Services,secondary,1.386,1.706,<$5M,2,3.0,6.0,0.919,15.162,5.469,False
1311026,Aberdeen,2018,ALL,All,all,1.386,1.706,<$5M,2,3.0,6.0,0.46,9.51,3.645,False
1311026,Aberdeen,2018,SECONDARY,Secondary,secondary,1.386,1.706,<$5M,2,3.0,6.0,0.465,9.558,3.675,False
1311026,Aberdeen,2019,541330,Engineering Services,secondary,1.386,1.673,<$5M,2,3.0,6.0,1.049,14.5,5.573,False
1311026,Aberdeen,2019,ALL,All,all,1.386,1.673,<$5M,2,3.0,6.0,0.532,9.19,3.698,False
1311026,Aberdeen,2019,SECONDARY,Secondary,secondary,1.386,1.673,<$5M,2,3.0,6.0,0.537,9.233,3.727,False
1311026,Aberdeen,2020,541330,Engineering Services,secondary,1.386,1.661,<$5M,2,3.0,6.0,0.785,13.836,3.805,False
1311026,Aberdeen,2020,ALL,All,all,1.386,1.661,<$5M,2,3.0,6.0,0.46,8.758,2.755,False
1311026,Aberdeen,2020,SECONDARY,Secondary,secondary,1.386,1.661,<$5M,2,3.0,6.0,0.464,8.8,2.774,False
1311026,Aberdeen,2021,541330,Engineering Services,secondary,1.386,1.607,<$5M,2,3.0,6.0,0.98,14.309,5.403,False
1311026,Aberdeen,2021,ALL,All,all,1.386,1.607,<$5M,2,3.0,6.0,0.52,9.037,3.645,False
1311026,Aberdeen,2021,SECONDARY,Secondary,secondary,1.386,1.607,<$5M,2,3.0,6.0,0.526,9.082,3.675,False
1311026,Aberdeen,2022,541330,Engineering Services,secondary,1.386,1.505,<$5M,2,3.0,6.0,0.972,14.046,5.479,False
1311026,Aberdeen,2022,ALL,All,all,1.386,1.505,<$5M,2,3.0,6.0,0.506,8.48,3.49,False
1311026,Aberdeen,2022,SECONDARY,Secondary,secondary,1.386,1.505,<$5M,2,3.0,6.0,0.511,8.517,3.517,False
1311026,Aberdeen,2023,541330,Engineering Services,secondary,1.17,1.223,<$5M,2,3.0,6.0,0.699,13.709,5.114,False
1311026,Aberdeen,2023,ALL,All,all,1.17,1.223,<$5M,2,3.0,6.0,0.364,8.235,3.188,False
1311026,Aberdeen,2023,SECONDARY,Secondary,secondary,1.17,1.223,<$5M,2,3.0,6.0,0.368,8.272,3.22,False
1311026,Aberdeen,2024,541330,Engineering Services,secondary,1.17,1.194,<$5M,2,3.0,6.0,0.731,13.478,4.92,False
1311026,Aberdeen,2024,ALL,All,all,1.17,1.194,<$5M,2,3.0,6.0,0.416,8.034,3.131,False
1311026,Aberdeen,2024,SECONDARY,Secondary,secondary,1.17,1.194,<$5M,2,3.0,6.0,0.422,8.077,3.17,False
