region_uid,region_name,year,tier,object_sector,total_value,total_value_real,n_contracts,n_vendors
61,Northwest Territories,2021,ALL,ALL,11114690.17,12888644.957019774,53,12
61,Northwest Territories,2022,ALL,ALL,5258534.18,5710656.827751323,58,20
61,Northwest Territories,2023,ALL,ALL,4072688.68,4256750.358090389,26,10
61,Northwest Territories,2024,ALL,ALL,22830018.31,23298253.61405842,27,19
61,Northwest Territories,2025,ALL,ALL,5759084.69,5759084.69,66,44
61,Northwest Territories,2026,ALL,ALL,1074804.28,1051745.3085578068,23,18
62,Nunavut,2016,ALL,ALL,665525.82,851085.1997196261,37,3
62,Nunavut,2017,ALL,ALL,1596230.47,2009977.3249539877,44,8
62,Nunavut,2018,ALL,ALL,1913594.51,2355413.9320989503,73,11
62,Nunavut,2019,ALL,ALL,1105829.55,1335126.5596323528,57,6
62,Nunavut,2020,ALL,ALL,2053846.25,2461617.1843065694,88,8
62,Nunavut,2021,ALL,ALL,1523560.85,1766728.0478107345,72,10
62,Nunavut,2022,ALL,ALL,592553286.89,643500328.7522354,14,9
62,Nunavut,2023,ALL,ALL,573844.02,599778.4091915977,29,10
62,Nunavut,2024,ALL,ALL,5300199.3,5408904.444126787,20,11
62,Nunavut,2025,ALL,ALL,25236666.93,25236666.93,40,16
62,Nunavut,2026,ALL,ALL,1295103.55,1267318.2533373062,14,13
10,Newfoundland and Labrador,2016,General Government Support,ALL,492096.23000000004,629300.630576324,16,8
10,Newfoundland and Labrador,2016,Industrial and Technical Support,ALL,351642.47000000003,449686.0870249221,10,6
10,Newfoundland and Labrador,2017,Core Defence Industrial Complex,ALL,1242279.77,1564281.7349233127,9,6
10,Newfoundland and Labrador,2017,General Government Support,ALL,6010483.84,7568416.000981594,134,37
10,Newfoundland and Labrador,2017,Industrial and Technical Support,ALL,5163020.31,6501287.844340491,55,22
10,Newfoundland and Labrador,2018,Core Defence Industrial Complex,ALL,980118.5599999999,1206412.8002398799,6,2
10,Newfoundland and Labrador,2018,General Government Support,ALL,6167945.77,7592029.201154422,60,44
10,Newfoundland and Labrador,2018,Industrial and Technical Support,ALL,6588809.08,8110063.350344827,105,39
10,Newfoundland and Labrador,2019,Core Defence Industrial Complex,ALL,16407.05,19809.10007352941,1,1
10,Newfoundland and Labrador,2019,General Government Support,ALL,9409439.22,11360514.117088234,64,39
10,Newfoundland and Labrador,2019,Industrial and Technical Support,ALL,5028028.96,6070605.55317647,102,28
10,Newfoundland and Labrador,2020,Core Defence Industrial Complex,ALL,4930303.73,5909166.95230657,5,5
10,Newfoundland and Labrador,2020,General Government Support,ALL,14395707.87,17253833.812072992,64,42
10,Newfoundland and Labrador,2020,Industrial and Technical Support,ALL,16304450.209999999,19541538.13490511,57,26
10,Newfoundland and Labrador,2021,General Government Support,ALL,13591358.13,15760600.317415254,90,41
10,Newfoundland and Labrador,2021,Industrial and Technical Support,ALL,5307768.73,6154912.609223164,87,30
10,Newfoundland and Labrador,2022,Core Defence Industrial Complex,ALL,50079911.72,54385724.235608466,4,3
10,Newfoundland and Labrador,2022,General Government Support,ALL,10532811.36,11438410.22031746,81,54
10,Newfoundland and Labrador,2022,Industrial and Technical Support,ALL,6962280.08,7560888.817037038,133,29
10,Newfoundland and Labrador,2023,Core Defence Industrial Complex,ALL,41157110,43017170.35009548,3,2
10,Newfoundland and Labrador,2023,General Government Support,ALL,17262385.35,18042544.076830044,74,46
10,Newfoundland and Labrador,2023,Industrial and Technical Support,ALL,7078576.88,7398487.101820497,125,22
10,Newfoundland and Labrador,2024,Core Defence Industrial Complex,ALL,57677243.2,58860182.308514595,3,2
10,Newfoundland and Labrador,2024,General Government Support,ALL,8077583.3,8243251.571535114,68,44
10,Newfoundland and Labrador,2024,Industrial and Technical Support,ALL,30502945.66,31128549.890441265,127,12
10,Newfoundland and Labrador,2025,Core Defence Industrial Complex,ALL,25715122.25,25715122.25,309,83
10,Newfoundland and Labrador,2025,General Government Support,ALL,10610070.26,10610070.26,132,66
10,Newfoundland and Labrador,2025,Industrial and Technical Support,ALL,8450262.68,8450262.68,150,29
10,Newfoundland and Labrador,2026,Core Defence Industrial Complex,ALL,5375203.75,5259883.5265196655,159,65
10,Newfoundland and Labrador,2026,General Government Support,ALL,3731971.59,3651905.453384982,88,39
10,Newfoundland and Labrador,2026,Industrial and Technical Support,ALL,6231671.54,6097976.560595947,53,19
11,Prince Edward Island,2016,General Government Support,ALL,15470,19783.28660436137,1,1
11,Prince Edward Island,2016,Industrial and Technical Support,ALL,35719.3,45678.41947040498,1,1
11,Prince Edward Island,2017,General Government Support,ALL,72066.91,90746.82992331288,3,3
11,Prince Edward Island,2018,General Government Support,ALL,596665.61,734426.4854722639,7,7
11,Prince Edward Island,2018,Industrial and Technical Support,ALL,1270453.3,1563781.348275862,4,4
11,Prince Edward Island,2019,General Government Support,ALL,533498.17,644120.5846617647,8,8
11,Prince Edward Island,2019,Industrial and Technical Support,ALL,248029.61,299459.2791323529,5,5
11,Prince Edward Island,2020,Core Defence Industrial Complex,ALL,19005.38,22778.71091970803,1,1
11,Prince Edward Island,2020,General Government Support,ALL,10063856.3,12061935.798978101,12,10
11,Prince Edward Island,2020,Industrial and Technical Support,ALL,36748.25,44044.25291970803,2,2
11,Prince Edward Island,2021,General Government Support,ALL,533768.43,618960.2839406779,20,8
11,Prince Edward Island,2021,Industrial and Technical Support,ALL,1456987.42,1689529.1974858758,8,6
11,Prince Edward Island,2022,Core Defence Industrial Complex,ALL,42381.14,46025.02108465609,1,1
11,Prince Edward Island,2022,General Government Support,ALL,1147226.74,1245863.9597089947,18,8
11,Prince Edward Island,2022,Industrial and Technical Support,ALL,66086.79000000001,71768.85527777778,3,3
11,Prince Edward Island,2023,General Government Support,ALL,763788.06,798306.8074602165,23,11
11,Prince Edward Island,2023,Industrial and Technical Support,ALL,1046913.95,1094228.3296626352,9,9
11,Prince Edward Island,2024,General Government Support,ALL,594212.25,606399.3253573647,18,9
11,Prince Edward Island,2024,Industrial and Technical Support,ALL,16102.5,16432.756370416406,1,1
11,Prince Edward Island,2025,Core Defence Industrial Complex,ALL,1458497.94,1458497.94,4,2
11,Prince Edward Island,2025,General Government Support,ALL,598915.67,598915.67,19,12
11,Prince Edward Island,2025,Industrial and Technical Support,ALL,83774.38,83774.38,5,5
11,Prince Edward Island,2026,Core Defence Industrial Complex,ALL,226508.02,221648.49156138254,2,1
11,Prince Edward Island,2026,General Government Support,ALL,103661.1,101437.14314660309,4,2
11,Prince Edward Island,2026,Industrial and Technical Support,ALL,14950,14629.261025029797,1,1
12,Nova Scotia,2016,Core Defence Industrial Complex,ALL,1803515.98,2306365.4510591896,8,3
12,Nova Scotia,2016,General Government Support,ALL,16635653.25,21273942.863317754,81,39
12,Nova Scotia,2016,Industrial and Technical Support,ALL,2813916.81,3598482.4003271027,22,14
12,Nova Scotia,2017,Core Defence Industrial Complex,ALL,6367408.6,8017856.534662575,55,18
12,Nova Scotia,2017,General Government Support,ALL,52239881.43,65780586.89268405,547,191
12,Nova Scotia,2017,Industrial and Technical Support,ALL,200156224.32,252037208.84466255,216,81
12,Nova Scotia,2018,Core Defence Industrial Complex,ALL,32467265.78,39963456.08002998,68,24
12,Nova Scotia,2018,General Government Support,ALL,79543993.98,97909473.84944527,700,198
12,Nova Scotia,2018,Industrial and Technical Support,ALL,53586091.04,65958291.96977511,300,97
12,Nova Scotia,2019,Core Defence Industrial Complex,ALL,1336409426.7,1613517851.942206,80,22
12,Nova Scotia,2019,General Government Support,ALL,51598921.83,62298110.03298529,603,191
12,Nova Scotia,2019,Industrial and Technical Support,ALL,106578561.7,128677939.93485293,285,99
12,Nova Scotia,2020,Core Defence Industrial Complex,ALL,19342787.36,23183107.18621898,62,11
12,Nova Scotia,2020,General Government Support,ALL,68303772.73,81864813.73916788,691,196
12,Nova Scotia,2020,Industrial and Technical Support,ALL,615971918.08,738267072.618511,278,81
12,Nova Scotia,2021,Core Defence Industrial Complex,ALL,16166429.11,18746664.264562145,61,26
12,Nova Scotia,2021,General Government Support,ALL,76297264.93,88474653.25922316,779,221
12,Nova Scotia,2021,Industrial and Technical Support,ALL,842043022.99,976436895.3033757,389,104
12,Nova Scotia,2022,Core Defence Industrial Complex,ALL,67472295.75,73273485.19940476,85,28
12,Nova Scotia,2022,General Government Support,ALL,73671476.47,80005664.2617328,885,267
12,Nova Scotia,2022,Industrial and Technical Support,ALL,80430341.47,87345648.6069709,423,114
12,Nova Scotia,2023,Core Defence Industrial Complex,ALL,19750873.85,20643497.684086572,91,38
12,Nova Scotia,2023,General Government Support,ALL,148038087.83,154728542.46776575,1093,334
12,Nova Scotia,2023,Industrial and Technical Support,ALL,283698801.36,296520325.80084026,454,141
12,Nova Scotia,2024,Core Defence Industrial Complex,ALL,3603363109.31,3677266765.3741574,70,31
12,Nova Scotia,2024,General Government Support,ALL,130894143.56,133578734.44718458,1132,298
12,Nova Scotia,2024,Industrial and Technical Support,ALL,162974213.87,166316755.23588562,346,136
12,Nova Scotia,2025,Core Defence Industrial Complex,ALL,10853991994.08,10853991994.08,321,108
12,Nova Scotia,2025,General Government Support,ALL,122137912.72,122137912.72,1400,351
12,Nova Scotia,2025,Industrial and Technical Support,ALL,95120740.13,95120740.13,351,152
12,Nova Scotia,2026,Core Defence Industrial Complex,ALL,7921332.36,7751387.208057211,134,52
12,Nova Scotia,2026,General Government Support,ALL,28520830.43,27908941.338533968,350,156
12,Nova Scotia,2026,Industrial and Technical Support,ALL,10504856.11,10279483.750071513,102,62
13,New Brunswick,2016,General Government Support,ALL,5315930.09,6798097.513847351,123,29
13,New Brunswick,2016,Industrial and Technical Support,ALL,962387.36,1230716.5460436135,48,12
13,New Brunswick,2017,Core Defence Industrial Complex,ALL,1257776.25,1583794.9405674846,3,3
13,New Brunswick,2017,General Government Support,ALL,24627457.46,31010954.869110428,387,88
13,New Brunswick,2017,Industrial and Technical Support,ALL,15639303.02,19693048.741441716,204,53
13,New Brunswick,2018,Core Defence Industrial Complex,ALL,323141.17,397749.47611694154,7,4
13,New Brunswick,2018,General Government Support,ALL,27672166.16,34061242.00503748,379,93
13,New Brunswick,2018,Industrial and Technical Support,ALL,21809051.63,26844424.869910043,274,57
13,New Brunswick,2019,Core Defence Industrial Complex,ALL,120066.8,144963.00411764704,5,5
13,New Brunswick,2019,General Government Support,ALL,23726146.17,28645832.36113235,403,90
13,New Brunswick,2019,Industrial and Technical Support,ALL,64300601.57,77633520.42495587,206,48
13,New Brunswick,2020,Core Defence Industrial Complex,ALL,142214.73,170450.06325547444,6,4
13,New Brunswick,2020,General Government Support,ALL,35777353.46,42880594.43891971,405,89
13,New Brunswick,2020,Industrial and Technical Support,ALL,21343942.25,25581571.66021898,131,50
13,New Brunswick,2021,Core Defence Industrial Complex,ALL,96753.82,112196.16697740112,6,6
13,New Brunswick,2021,General Government Support,ALL,48988105.31,56806828.332641244,471,110
13,New Brunswick,2021,Industrial and Technical Support,ALL,126729812.53,146956463.39990112,143,60
13,New Brunswick,2022,General Government Support,ALL,54349510.22,59022417.84473545,514,142
13,New Brunswick,2022,Industrial and Technical Support,ALL,35461825.41,38510791.88043651,140,57
13,New Brunswick,2023,Core Defence Industrial Complex,ALL,76104.96,79544.45851050288,3,3
13,New Brunswick,2023,General Government Support,ALL,211329147.55,220879987.44563973,573,159
13,New Brunswick,2023,Industrial and Technical Support,ALL,42569208.19,44493087.10883514,237,75
13,New Brunswick,2024,Core Defence Industrial Complex,ALL,164778.79,168158.34256059662,5,4
13,New Brunswick,2024,General Government Support,ALL,53892807.6,54998129.32206339,523,146
13,New Brunswick,2024,Industrial and Technical Support,ALL,43286959.84,44174759.51353636,313,80
13,New Brunswick,2025,Core Defence Industrial Complex,ALL,2930754.6,2930754.6,45,22
13,New Brunswick,2025,General Government Support,ALL,58939710.65,58939710.65,601,165
13,New Brunswick,2025,Industrial and Technical Support,ALL,149575954.75,149575954.75,386,117
13,New Brunswick,2026,Core Defence Industrial Complex,ALL,1546025.6300000001,1512857.022920143,14,11
13,New Brunswick,2026,General Government Support,ALL,7316896.29,7159918.777222884,139,63
13,New Brunswick,2026,Industrial and Technical Support,ALL,14856109.77,14537385.126543503,95,24
24,Quebec,2016,Core Defence Industrial Complex,ALL,1169336.4000000001,1495366.3308411215,26,10
24,Quebec,2016,General Government Support,ALL,195003377.94,249373478.64289716,90,66
24,Quebec,2016,Industrial and Technical Support,ALL,28843938.32,36886095.57744548,73,35
24,Quebec,2017,Core Defence Industrial Complex,ALL,1455923755.96,1833302766.323865,184,49
24,Quebec,2017,General Government Support,ALL,115541790.81,145490506.52608895,827,381
24,Quebec,2017,Industrial and Technical Support,ALL,838121614.46,1055364793.6681901,695,230
24,Quebec,2018,Core Defence Industrial Complex,ALL,115021687.55,141578419.00832084,252,62
24,Quebec,2018,General Government Support,ALL,150795918.39,185612367.31362817,1023,487
24,Quebec,2018,Industrial and Technical Support,ALL,316755645.84,389889633.03544223,1261,312
24,Quebec,2019,Core Defence Industrial Complex,ALL,1880029252.7,2269858847.7451468,174,57
24,Quebec,2019,General Government Support,ALL,76294932.73,92114911.42842647,982,425
24,Quebec,2019,Industrial and Technical Support,ALL,2803314552.5,3384590070.0036764,1102,271
24,Quebec,2020,Core Defence Industrial Complex,ALL,288404793.24,345664722.9927591,191,47
24,Quebec,2020,General Government Support,ALL,268938367.79,322333430.59210217,961,398
24,Quebec,2020,Industrial and Technical Support,ALL,528026221.88,632860625.0561752,559,231
24,Quebec,2021,Core Defence Industrial Complex,ALL,179865817.94,208573215.43607342,146,47
24,Quebec,2021,General Government Support,ALL,142477138.32,165217133.56033897,932,393
24,Quebec,2021,Industrial and Technical Support,ALL,296705616.49,344061173.9241384,1062,279
24,Quebec,2022,Core Defence Industrial Complex,ALL,324595066.56,352503372.5473016,188,51
24,Quebec,2022,General Government Support,ALL,1073030537.92,1165288454.5401058,1171,506
24,Quebec,2022,Industrial and Technical Support,ALL,953150895.07,1035101699.5403043,1076,324
24,Quebec,2023,Core Defence Industrial Complex,ALL,2627907676,2746673713.553151,150,53
24,Quebec,2023,General Government Support,ALL,320933633.7,335437954.510121,1286,603
24,Quebec,2023,Industrial and Technical Support,ALL,901788945.45,942544524.7796944,1056,381
24,Quebec,2024,Core Defence Industrial Complex,ALL,574573647.26,586357942.0763953,209,83
24,Quebec,2024,General Government Support,ALL,107746468.24,109956308.79433188,1350,571
24,Quebec,2024,Industrial and Technical Support,ALL,227454830.68,232119845.85243008,1147,375
24,Quebec,2025,Core Defence Industrial Complex,ALL,1193300438.23,1193300438.23,371,112
24,Quebec,2025,General Government Support,ALL,434824531.84,434824531.84,2116,756
24,Quebec,2025,Industrial and Technical Support,ALL,386001386.3,386001386.3,1354,453
24,Quebec,2026,Core Defence Industrial Complex,ALL,981289892.47,960237189.1750535,164,80
24,Quebec,2026,General Government Support,ALL,39681225.97,38829900.50222884,553,285
24,Quebec,2026,Industrial and Technical Support,ALL,890275231.29,871175166.7331226,399,185
35,Ontario,2016,Core Defence Industrial Complex,ALL,12360971.78,15807410.952305295,15,12
35,Ontario,2016,General Government Support,ALL,96302293.19,123152932.56852023,323,167
35,Ontario,2016,Industrial and Technical Support,ALL,230388585.8,294624655.67258567,183,104
35,Ontario,2017,Core Defence Industrial Complex,ALL,69505774.71,87521842.0811503,131,61
35,Ontario,2017,General Government Support,ALL,2072942381.4,2610254133.634049,2229,857
35,Ontario,2017,Industrial and Technical Support,ALL,537802409.71,677202114.0673466,2227,583
35,Ontario,2018,Core Defence Industrial Complex,ALL,155215062.06,191051823.01538232,166,89
35,Ontario,2018,General Government Support,ALL,651175700.58,801522114.2071663,2706,1030
35,Ontario,2018,Industrial and Technical Support,ALL,1361152530.59,1675421630.6062818,2736,726
35,Ontario,2019,Core Defence Industrial Complex,ALL,80360888.39,97023954.95322058,132,74
35,Ontario,2019,General Government Support,ALL,426771649.09,515264005.7395441,2472,955
35,Ontario,2019,Industrial and Technical Support,ALL,609687147.02,736107570.1520882,2355,656
35,Ontario,2020,Core Defence Industrial Complex,ALL,48301955.71,57891833.048043795,93,47
35,Ontario,2020,General Government Support,ALL,521413618.32,624935154.2200292,2351,922
