region_uid,region_name,year,NAICS6,NAICSD,defence_type,total_sales_M,sales_bucket,n_firms,avg_employees,total_jobs,lq_sales,lq_firms,lq_jobs,suppressed
410,Alma,2019,541511,Custom Computer Programming Services,secondary,,<$5M,<2,,,,,,True
410,Alma,2019,ALL,All,all,27.624,>=$5M,14,9.1,128.0,0.623,0.953,0.684,False
410,Alma,2019,SECONDARY,Secondary,secondary,27.624,>=$5M,14,9.1,128.0,0.68,0.966,0.721,False
410,Alma,2020,331110,Iron & Steel Mills & Ferroalloy Manufacturing,secondary,,<$5M,<2,,,,,,True
410,Alma,2020,541330,Engineering Services,secondary,14.091,>=$5M,8,7.6,61.0,0.452,0.852,0.372,False
410,Alma,2020,541370,Surveying & Mapping (except Geophysical) Services,secondary,8.085,>=$5M,4,13.8,55.0,3.981,2.095,3.282,False
410,Alma,2020,541511,Custom Computer Programming Services,secondary,,<$5M,<2,,,,,,True
410,Alma,2020,ALL,All,all,26.007,>=$5M,14,8.6,121.0,0.483,0.953,0.525,False
410,Alma,2020,SECONDARY,Secondary,secondary,26.007,>=$5M,14,8.6,121.0,0.518,0.966,0.546,False
410,Alma,2021,331110,Iron and Steel Mills and Ferroalloy Manufacturing,secondary,,<$5M,<2,,,,,,True
410,Alma,2021,541330,Engineering Services,secondary,14.091,>=$5M,8,7.6,61.0,0.683,0.866,0.555,False
410,Alma,2021,541370,Surveying and Mapping (except Geophysical) Service,secondary,8.085,>=$5M,4,13.8,55.0,3.961,2.096,3.252,False
410,Alma,2021,541511,Custom Computer Programming Services,secondary,,<$5M,<2,,,,,,True
410,Alma,2021,ALL,All,all,26.007,>=$5M,14,8.6,121.0,0.611,0.962,0.686,False
410,Alma,2021,SECONDARY,Secondary,secondary,26.007,>=$5M,14,8.6,121.0,0.669,0.975,0.724,False
410,Alma,2022,331110,Iron and Steel Mills and Ferroalloy Manufacturing,secondary,,<$5M,<2,,,,,,True
410,Alma,2022,333310,Commercial and Service Industry Machinery Manufact,primary,,>=$5M,<2,,,,,,True
